identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
https://github.com/aws/amazon-vpc-cni-k8s,SOURCE_CODE,"",false,true,,,,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
AWS CloudFormation,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
Amazon Route 53 Application Recovery Controller,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS Billing and Cost Management,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:19 UTC,2024-09-05 12:30:19 UTC
CloudEndure Migration,OTHER,"",false,true,,,,critical,,2024-09-05 12:33:09 UTC,2024-09-05 12:33:09 UTC
AWS Security Hub CSPM,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
api-user.e2ro.com/*,OTHER,"",false,true,,,,critical,,2024-06-18 13:31:56 UTC,2024-06-18 13:31:56 UTC
*.agslauncher.com,OTHER,"",false,true,,,,critical,,2024-06-18 13:31:55 UTC,2024-06-18 13:31:55 UTC
AWS Global Accelerator,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:21 UTC,2024-09-05 12:30:21 UTC
AWS CloudShell,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
Babelfish,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:58 UTC,2024-09-05 12:31:58 UTC
https://*.awsapps.com/*,OTHER,"",false,true,high,high,high,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
Amazon Mobile Analytics,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
AWS Billing,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
*.tsologic.com,OTHER,"",false,true,,,,critical,,2024-06-18 13:31:55 UTC,2024-06-18 13:31:55 UTC
https://*.awsevents.com/*,OTHER,"",false,true,high,high,high,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
Amazon CloudWatch Logs,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:55 UTC,2024-09-05 12:30:55 UTC
AWS SDK for SAP ABAP,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon CloudFront,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:55 UTC,2024-09-05 12:30:55 UTC
AWS CloudHSM,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
AWS Deep Learning AMIs (DLAMI),OTHER,"",false,true,,,,critical,,2024-09-05 12:30:21 UTC,2024-09-05 12:30:21 UTC
Amazon Q Developer,OTHER,"",false,true,,,,critical,,2025-07-09 13:37:02 UTC,2025-07-09 13:37:02 UTC
Amazon Cognito Identity,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon Interactive Video Service Chat,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon Data Firehose,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:58 UTC,2024-09-05 12:30:58 UTC
Amazon FSx for Lustre,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
AWS OpsWorks for Chef Automate,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS SDK for .NET,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
https://*.amazonzocalo.com/*,OTHER,"",false,true,high,high,high,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
AWS Private 5G,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
"Services, Apps, Mobile",OTHER,"",false,true,,,,critical,,2024-06-18 13:31:56 UTC,2024-06-18 13:31:56 UTC
Amazon Elastic Container Service (Amazon ECS),OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
Amazon Managed Service for Apache Flink,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
AWS Price List,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Network Firewall,OTHER,"",false,true,,,,critical,,2024-09-05 12:33:09 UTC,2024-09-05 12:33:09 UTC
AWS Management Portal for vCenter,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Parallel Computing Service,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Service Catalog,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
https://github.com/kubernetes-sigs/cluster-api-provider-aws,SOURCE_CODE,"",false,true,,,,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
AWS Marketplace,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Cloud9,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
https://*.amazonworkdocs.com/*,OTHER,"",false,true,high,high,high,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
OpenSearch,OTHER,"",false,true,,,,critical,,2024-09-05 12:34:35 UTC,2024-09-05 12:34:35 UTC
Amazon SageMaker,OTHER,"",false,true,,,,critical,,2025-07-09 13:36:31 UTC,2025-07-09 13:36:31 UTC
Amazon Neptune Analytics,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
AWS WorkMail,OTHER,"",false,true,,,,critical,,2024-06-18 13:31:55 UTC,2024-06-18 13:31:55 UTC
Amazon FSx,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
Amazon Lightsail,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
AWS Mainframe Modernization,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Partner Central Selling,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Performance Insights,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Supply Chain,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS Network Manager,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon Pinpoint,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon Elastic Container Registry,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon GuardDuty ECS Runtime Monitoring,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
Amazon RDS,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon Augmented AI (Amazon A2I),OTHER,"",false,true,,,,critical,,2024-09-05 12:30:54 UTC,2024-09-05 12:30:54 UTC
Amazon Macie Classic,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
Amazon DevPay,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
Sequoia,OTHER,"",false,true,,,,critical,,2024-09-05 12:34:35 UTC,2024-09-05 12:34:35 UTC
www.awseducate.com,URL,"",false,true,,,,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
Service Quotas,OTHER,"",false,true,,,,critical,,2024-09-05 12:34:35 UTC,2024-09-05 12:34:35 UTC
Anything not in scope,OTHER,"",false,true,,,,critical,,2024-06-18 13:31:56 UTC,2024-06-18 13:31:56 UTC
AWS Deep Learning Containers,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:21 UTC,2024-09-05 12:30:21 UTC
AWS Application Auto Scaling,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:19 UTC,2024-09-05 12:30:19 UTC
AWS IoT Analytics,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:22 UTC,2024-09-05 12:30:22 UTC
AWS Certificate Manager (ACM),OTHER,"",false,true,,,,critical,,2024-09-05 12:30:19 UTC,2024-09-05 12:30:19 UTC
AWS Cloud Development Kit (AWS CDK),OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
AWS App Runner,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:19 UTC,2024-09-05 12:30:19 UTC
*.lostark.games.aws.dev,WILDCARD,"",false,true,,,,high,,2024-06-18 13:31:55 UTC,2024-06-18 13:31:55 UTC
AWS SDK for C++,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS AppFabric,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:19 UTC,2024-09-05 12:30:19 UTC
AWS Identity and Access Management (IAM),OTHER,"",false,true,,,,critical,,2024-09-05 12:30:22 UTC,2024-09-05 12:30:22 UTC
AWS Directory Service,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:21 UTC,2024-09-05 12:30:21 UTC
AWS Fault Injection Service,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:21 UTC,2024-09-05 12:30:21 UTC
Amazon Q Developer Agent,OTHER,"",false,true,,,,critical,,2025-07-09 13:37:02 UTC,2025-07-09 13:37:02 UTC
AWS DeepComposer,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:21 UTC,2024-09-05 12:30:21 UTC
AWS Cloud Shell,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS AppSync,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:19 UTC,2024-09-05 12:30:19 UTC
Amazon Interactive Video Service (Amazon IVS),OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
Amazon Simple Notification Service (Amazon SNS),OTHER,"",false,true,,,,critical,,2025-11-21 13:08:56 UTC,2025-11-21 13:08:56 UTC
AWS Shield,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon Data Lifecycle Managers,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon EventBridge,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
AWS Pricing Calculator,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Security Incident Response,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon Simple Email Service (Amazon SES),OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS IoT 1-Click,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:22 UTC,2024-09-05 12:30:22 UTC
Amazon EC2 Instance Connect,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS Identity Store,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Glue,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:21 UTC,2024-09-05 12:30:21 UTC
Amazon Lex,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
AWS Transform,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS CodeStar,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
AWS Cost Optimization Hub,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS HealthLake,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:22 UTC,2024-09-05 12:30:22 UTC
Amazon EC2,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
https://github.com/aws/aws-cli,SOURCE_CODE,"",false,true,,,,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
Amazon DocumentDB (with MongoDB compatibility),OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
AWS Key Management Service,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon OpenSearch Serverless,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:01 UTC,2024-09-05 12:31:01 UTC
Amazon Location Service,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
Alexa for Business,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:17 UTC,2024-09-05 12:31:17 UTC
AWS CloudFront,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS IoT Core,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:22 UTC,2024-09-05 12:30:22 UTC
AWS GuardDuty,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon FSx for Windows File Server,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
Amazon Managed Streaming for Apache Kafka,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
https://*.awspartner.com/*,OTHER,"",false,true,high,high,high,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
AWS License Manager,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Thinkbox Deadline,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS Storage Gateway,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
